"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",87.8115088355233
"2",2011,"non_critical","MC","Low",96.8150684931507
"3",2011,"critical","MC","Low",96.8150684931507
"4",2012,"non_critical","MC","Low",97.3246812386157
"5",2012,"critical","MC","Low",97.3246812386157
"6",2013,"non_critical","MC","Low",98.8812785388128
"7",2013,"critical","MC","Low",98.8812785388128
"8",2014,"non_critical","MC","Low",97.9566210045662
"9",2014,"critical","MC","Low",97.9566210045662
"10",2015,"non_critical","MC","Low",98.6529680365297
"11",2015,"critical","MC","Low",98.6529680365297
"12",2016,"non_critical","MC","Low",97.4612932604736
"13",2016,"critical","MC","Low",97.4612932604736
"14",2017,"non_critical","MC","Low",95.8791208791209
"15",2017,"critical","MC","Low",95.8791208791209
"16",2010,"non_critical","MC","Medium",66.787494336203
"17",2011,"non_critical","MC","Medium",84.189497716895
"18",2011,"critical","MC","Medium",84.189497716895
"19",2012,"non_critical","MC","Medium",89.5264116575592
"20",2012,"critical","MC","Medium",89.5264116575592
"21",2013,"non_critical","MC","Medium",94.7488584474886
"22",2013,"critical","MC","Medium",94.7488584474886
"23",2014,"non_critical","MC","Medium",94.9543378995434
"24",2014,"critical","MC","Medium",94.9543378995434
"25",2015,"non_critical","MC","Medium",94.9429223744292
"26",2015,"critical","MC","Medium",94.9429223744292
"27",2016,"non_critical","MC","Medium",92.0537340619308
"28",2016,"critical","MC","Medium",92.0537340619308
"29",2017,"non_critical","MC","Medium",88.2326007326007
"30",2017,"critical","MC","Medium",88.2326007326007
"31",2010,"non_critical","MC","High",0
"32",2011,"non_critical","MC","High",0
"33",2011,"critical","MC","High",0
"34",2012,"non_critical","MC","High",0
"35",2012,"critical","MC","High",0
"36",2013,"non_critical","MC","High",0
"37",2013,"critical","MC","High",0
"38",2014,"non_critical","MC","High",0
"39",2014,"critical","MC","High",0
"40",2015,"non_critical","MC","High",0
"41",2015,"critical","MC","High",0
"42",2016,"non_critical","MC","High",0
"43",2016,"critical","MC","High",0
"44",2017,"non_critical","MC","High",0
"45",2017,"critical","MC","High",0
"46",2010,"non_critical","MC","Low.Seasonal",87.8115088355233
"47",2011,"non_critical","MC","Low.Seasonal",94.0018315018315
"48",2011,"critical","MC","Low.Seasonal",99.6129326047359
"49",2012,"non_critical","MC","Low.Seasonal",95.6284153005464
"50",2012,"critical","MC","Low.Seasonal",99.0209471766849
"51",2013,"non_critical","MC","Low.Seasonal",98.1227106227106
"52",2013,"critical","MC","Low.Seasonal",99.6357012750455
"53",2014,"non_critical","MC","Low.Seasonal",96.0164835164835
"54",2014,"critical","MC","Low.Seasonal",99.8861566484517
"55",2015,"non_critical","MC","Low.Seasonal",97.7335164835165
"56",2015,"critical","MC","Low.Seasonal",99.5673952641166
"57",2016,"non_critical","MC","Low.Seasonal",95.3324225865209
"58",2016,"critical","MC","Low.Seasonal",99.5901639344262
"59",2017,"non_critical","MC","Low.Seasonal",87.8240740740741
"60",2017,"critical","MC","Low.Seasonal",99.8406193078324
"61",2010,"non_critical","MC","Medium.Seasonal",66.787494336203
"62",2011,"non_critical","MC","Medium.Seasonal",74.2216117216117
"63",2011,"critical","MC","Medium.Seasonal",94.1029143897996
"64",2012,"non_critical","MC","Medium.Seasonal",82.5364298724954
"65",2012,"critical","MC","Medium.Seasonal",96.516393442623
"66",2013,"non_critical","MC","Medium.Seasonal",91.0943223443223
"67",2013,"critical","MC","Medium.Seasonal",98.3834244080146
"68",2014,"non_critical","MC","Medium.Seasonal",90.7738095238095
"69",2014,"critical","MC","Medium.Seasonal",99.1120218579235
"70",2015,"non_critical","MC","Medium.Seasonal",92.2161172161172
"71",2015,"critical","MC","Medium.Seasonal",97.6548269581056
"72",2016,"non_critical","MC","Medium.Seasonal",86.0655737704918
"73",2016,"critical","MC","Medium.Seasonal",98.0418943533698
"74",2017,"non_critical","MC","Medium.Seasonal",66.7592592592593
"75",2017,"critical","MC","Medium.Seasonal",98.7932604735883
"76",2010,"non_critical","MC","High.Seasonal",0
"77",2011,"non_critical","MC","High.Seasonal",0
"78",2011,"critical","MC","High.Seasonal",0
"79",2012,"non_critical","MC","High.Seasonal",0
"80",2012,"critical","MC","High.Seasonal",0
"81",2013,"non_critical","MC","High.Seasonal",0
"82",2013,"critical","MC","High.Seasonal",0
"83",2014,"non_critical","MC","High.Seasonal",0
"84",2014,"critical","MC","High.Seasonal",0
"85",2015,"non_critical","MC","High.Seasonal",0
"86",2015,"critical","MC","High.Seasonal",0
"87",2016,"non_critical","MC","High.Seasonal",0
"88",2016,"critical","MC","High.Seasonal",0
"89",2017,"non_critical","MC","High.Seasonal",0
"90",2017,"critical","MC","High.Seasonal",0
