"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",99.7734481196194
"2",2011,"non_critical","MC","Low",100
"3",2011,"critical","MC","Low",100
"4",2012,"non_critical","MC","Low",100
"5",2012,"critical","MC","Low",100
"6",2013,"non_critical","MC","Low",100
"7",2013,"critical","MC","Low",100
"8",2014,"non_critical","MC","Low",100
"9",2014,"critical","MC","Low",100
"10",2015,"non_critical","MC","Low",100
"11",2015,"critical","MC","Low",100
"12",2016,"non_critical","MC","Low",100
"13",2016,"critical","MC","Low",100
"14",2017,"non_critical","MC","Low",99.8473748473749
"15",2017,"critical","MC","Low",99.8473748473749
"16",2010,"non_critical","MC","Medium",11.8260081558677
"17",2011,"non_critical","MC","Medium",3.44748858447489
"18",2011,"critical","MC","Medium",3.44748858447489
"19",2012,"non_critical","MC","Medium",3.02823315118397
"20",2012,"critical","MC","Medium",3.02823315118397
"21",2013,"non_critical","MC","Medium",1.43835616438356
"22",2013,"critical","MC","Medium",1.43835616438356
"23",2014,"non_critical","MC","Medium",2.52283105022831
"24",2014,"critical","MC","Medium",2.52283105022831
"25",2015,"non_critical","MC","Medium",1.58675799086758
"26",2015,"critical","MC","Medium",1.58675799086758
"27",2016,"non_critical","MC","Medium",3.25591985428051
"28",2016,"critical","MC","Medium",3.25591985428051
"29",2017,"non_critical","MC","Medium",4.38034188034188
"30",2017,"critical","MC","Medium",4.38034188034188
"31",2010,"non_critical","MC","High",3.98731309469869
"32",2011,"non_critical","MC","High",0.742009132420091
"33",2011,"critical","MC","High",0.742009132420091
"34",2012,"non_critical","MC","High",0.512295081967213
"35",2012,"critical","MC","High",0.512295081967213
"36",2013,"non_critical","MC","High",0.136986301369863
"37",2013,"critical","MC","High",0.136986301369863
"38",2014,"non_critical","MC","High",0.662100456621005
"39",2014,"critical","MC","High",0.662100456621005
"40",2015,"non_critical","MC","High",0.182648401826484
"41",2015,"critical","MC","High",0.182648401826484
"42",2016,"non_critical","MC","High",0.819672131147541
"43",2016,"critical","MC","High",0.819672131147541
"44",2017,"non_critical","MC","High",1.15995115995116
"45",2017,"critical","MC","High",1.15995115995116
"46",2010,"non_critical","MC","Low.Seasonal",99.7734481196194
"47",2011,"non_critical","MC","Low.Seasonal",100
"48",2011,"critical","MC","Low.Seasonal",100
"49",2012,"non_critical","MC","Low.Seasonal",100
"50",2012,"critical","MC","Low.Seasonal",100
"51",2013,"non_critical","MC","Low.Seasonal",100
"52",2013,"critical","MC","Low.Seasonal",100
"53",2014,"non_critical","MC","Low.Seasonal",100
"54",2014,"critical","MC","Low.Seasonal",100
"55",2015,"non_critical","MC","Low.Seasonal",100
"56",2015,"critical","MC","Low.Seasonal",100
"57",2016,"non_critical","MC","Low.Seasonal",100
"58",2016,"critical","MC","Low.Seasonal",100
"59",2017,"non_critical","MC","Low.Seasonal",99.537037037037
"60",2017,"critical","MC","Low.Seasonal",100
"61",2010,"non_critical","MC","Medium.Seasonal",11.8260081558677
"62",2011,"non_critical","MC","Medium.Seasonal",6.47893772893773
"63",2011,"critical","MC","Medium.Seasonal",0.432604735883424
"64",2012,"non_critical","MC","Medium.Seasonal",4.73588342440801
"65",2012,"critical","MC","Medium.Seasonal",1.32058287795993
"66",2013,"non_critical","MC","Medium.Seasonal",2.51831501831502
"67",2013,"critical","MC","Medium.Seasonal",0.364298724954463
"68",2014,"non_critical","MC","Medium.Seasonal",4.87637362637363
"69",2014,"critical","MC","Medium.Seasonal",0.182149362477231
"70",2015,"non_critical","MC","Medium.Seasonal",2.26648351648352
"71",2015,"critical","MC","Medium.Seasonal",0.910746812386157
"72",2016,"non_critical","MC","Medium.Seasonal",6.28415300546448
"73",2016,"critical","MC","Medium.Seasonal",0.227686703096539
"74",2017,"non_critical","MC","Medium.Seasonal",12.5925925925926
"75",2017,"critical","MC","Medium.Seasonal",0.341530054644809
"76",2010,"non_critical","MC","High.Seasonal",3.98731309469869
"77",2011,"non_critical","MC","High.Seasonal",1.48809523809524
"78",2011,"critical","MC","High.Seasonal",0
"79",2012,"non_critical","MC","High.Seasonal",0.796903460837887
"80",2012,"critical","MC","High.Seasonal",0.227686703096539
"81",2013,"non_critical","MC","High.Seasonal",0.274725274725275
"82",2013,"critical","MC","High.Seasonal",0
"83",2014,"non_critical","MC","High.Seasonal",1.32783882783883
"84",2014,"critical","MC","High.Seasonal",0
"85",2015,"non_critical","MC","High.Seasonal",0.343406593406593
"86",2015,"critical","MC","High.Seasonal",0.0227686703096539
"87",2016,"non_critical","MC","High.Seasonal",1.63934426229508
"88",2016,"critical","MC","High.Seasonal",0
"89",2017,"non_critical","MC","High.Seasonal",3.51851851851852
"90",2017,"critical","MC","High.Seasonal",0
