"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"non_critical","LOB","Low",0
"2",2011-01-01,2011,1,"non_critical","MC","Low",0
"3",2011-01-01,2011,1,"non_critical","ROB","Low",0
"4",2012-01-01,2012,1,"non_critical","LOB","Low",0
"5",2012-01-01,2012,1,"non_critical","MC","Low",0
"6",2012-01-01,2012,1,"non_critical","ROB","Low",0
"7",2013-01-01,2013,1,"non_critical","LOB","Low",0
"8",2013-01-01,2013,1,"non_critical","MC","Low",0
"9",2013-01-01,2013,1,"non_critical","ROB","Low",0
"10",2014-01-01,2014,1,"non_critical","LOB","Low",0
"11",2014-01-01,2014,1,"non_critical","MC","Low",0
"12",2014-01-01,2014,1,"non_critical","ROB","Low",0
"13",2015-01-01,2015,1,"non_critical","LOB","Low",0
"14",2015-01-01,2015,1,"non_critical","MC","Low",0
"15",2015-01-01,2015,1,"non_critical","ROB","Low",0
"16",2016-01-01,2016,1,"non_critical","LOB","Low",0
"17",2016-01-01,2016,1,"non_critical","MC","Low",0
"18",2016-01-01,2016,1,"non_critical","ROB","Low",0
"19",2017-01-01,2017,1,"non_critical","LOB","Low",0
"20",2017-01-01,2017,1,"non_critical","MC","Low",0
"21",2017-01-01,2017,1,"non_critical","ROB","Low",0
"22",2011-02-01,2011,2,"non_critical","LOB","Low",0
"23",2011-02-01,2011,2,"non_critical","MC","Low",0
"24",2011-02-01,2011,2,"non_critical","ROB","Low",0
"25",2012-02-01,2012,2,"non_critical","LOB","Low",0
"26",2012-02-01,2012,2,"non_critical","MC","Low",0
"27",2012-02-01,2012,2,"non_critical","ROB","Low",0
"28",2013-02-01,2013,2,"non_critical","LOB","Low",0
"29",2013-02-01,2013,2,"non_critical","MC","Low",0
"30",2013-02-01,2013,2,"non_critical","ROB","Low",0
"31",2014-02-01,2014,2,"non_critical","LOB","Low",0
"32",2014-02-01,2014,2,"non_critical","MC","Low",0
"33",2014-02-01,2014,2,"non_critical","ROB","Low",0
"34",2015-02-01,2015,2,"non_critical","LOB","Low",0
"35",2015-02-01,2015,2,"non_critical","MC","Low",0
"36",2015-02-01,2015,2,"non_critical","ROB","Low",0
"37",2016-02-01,2016,2,"non_critical","LOB","Low",0
"38",2016-02-01,2016,2,"non_critical","MC","Low",0
"39",2016-02-01,2016,2,"non_critical","ROB","Low",0
"40",2017-02-01,2017,2,"non_critical","LOB","Low",0
"41",2017-02-01,2017,2,"non_critical","MC","Low",0
"42",2017-02-01,2017,2,"non_critical","ROB","Low",0
"43",2011-03-01,2011,3,"non_critical","LOB","Low",0
"44",2011-03-01,2011,3,"non_critical","MC","Low",0
"45",2011-03-01,2011,3,"non_critical","ROB","Low",0
"46",2012-03-01,2012,3,"non_critical","LOB","Low",0
"47",2012-03-01,2012,3,"non_critical","MC","Low",0
"48",2012-03-01,2012,3,"non_critical","ROB","Low",0
"49",2013-03-01,2013,3,"non_critical","LOB","Low",0
"50",2013-03-01,2013,3,"non_critical","MC","Low",0
"51",2013-03-01,2013,3,"non_critical","ROB","Low",0
"52",2014-03-01,2014,3,"non_critical","LOB","Low",0
"53",2014-03-01,2014,3,"non_critical","MC","Low",0
"54",2014-03-01,2014,3,"non_critical","ROB","Low",0
"55",2015-03-01,2015,3,"non_critical","LOB","Low",0
"56",2015-03-01,2015,3,"non_critical","MC","Low",0
"57",2015-03-01,2015,3,"non_critical","ROB","Low",0
"58",2016-03-01,2016,3,"non_critical","LOB","Low",0
"59",2016-03-01,2016,3,"non_critical","MC","Low",0
"60",2016-03-01,2016,3,"non_critical","ROB","Low",0
"61",2017-03-01,2017,3,"non_critical","LOB","Low",0
"62",2017-03-01,2017,3,"non_critical","MC","Low",0
"63",2017-03-01,2017,3,"non_critical","ROB","Low",0
"64",2011-04-01,2011,4,"critical","LOB","Low",0
"65",2011-04-01,2011,4,"critical","MC","Low",0
"66",2011-04-01,2011,4,"critical","ROB","Low",0
"67",2012-04-01,2012,4,"critical","LOB","Low",0
"68",2012-04-01,2012,4,"critical","MC","Low",0
"69",2012-04-01,2012,4,"critical","ROB","Low",0
"70",2013-04-01,2013,4,"critical","LOB","Low",0
"71",2013-04-01,2013,4,"critical","MC","Low",0
"72",2013-04-01,2013,4,"critical","ROB","Low",0
"73",2014-04-01,2014,4,"critical","LOB","Low",0
"74",2014-04-01,2014,4,"critical","MC","Low",0
