"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",87.2677843226099
"2",2011,"non_critical","MC","Low",95.810502283105
"3",2011,"critical","MC","Low",95.810502283105
"4",2012,"non_critical","MC","Low",99.1120218579235
"5",2012,"critical","MC","Low",99.1120218579235
"6",2013,"non_critical","MC","Low",99.6004566210046
"7",2013,"critical","MC","Low",99.6004566210046
"8",2014,"non_critical","MC","Low",99.3150684931507
"9",2014,"critical","MC","Low",99.3150684931507
"10",2015,"non_critical","MC","Low",99.634703196347
"11",2015,"critical","MC","Low",99.634703196347
"12",2016,"non_critical","MC","Low",99.0437158469945
"13",2016,"critical","MC","Low",99.0437158469945
"14",2017,"non_critical","MC","Low",97.8785103785104
"15",2017,"critical","MC","Low",97.8785103785104
"16",2010,"non_critical","LOB","Low",99.8187584956955
"17",2011,"non_critical","LOB","Low",100
"18",2011,"critical","LOB","Low",100
"19",2012,"non_critical","LOB","Low",100
"20",2012,"critical","LOB","Low",100
"21",2013,"non_critical","LOB","Low",100
"22",2013,"critical","LOB","Low",100
"23",2014,"non_critical","LOB","Low",100
"24",2014,"critical","LOB","Low",100
"25",2015,"non_critical","LOB","Low",100
"26",2015,"critical","LOB","Low",100
"27",2016,"non_critical","LOB","Low",99.9544626593807
"28",2016,"critical","LOB","Low",99.9544626593807
"29",2017,"non_critical","LOB","Low",99.9236874236874
"30",2017,"critical","LOB","Low",99.9236874236874
"31",2010,"non_critical","ROB","Low",99.3203443588582
"32",2011,"non_critical","ROB","Low",99.9885844748858
"33",2011,"critical","ROB","Low",99.9885844748858
"34",2012,"non_critical","ROB","Low",99.9772313296903
"35",2012,"critical","ROB","Low",99.9772313296903
"36",2013,"non_critical","ROB","Low",100
"37",2013,"critical","ROB","Low",100
"38",2014,"non_critical","ROB","Low",100
"39",2014,"critical","ROB","Low",100
"40",2015,"non_critical","ROB","Low",99.9771689497717
"41",2015,"critical","ROB","Low",99.9771689497717
"42",2016,"non_critical","ROB","Low",99.8861566484517
"43",2016,"critical","ROB","Low",99.8861566484517
"44",2017,"non_critical","ROB","Low",99.8473748473749
"45",2017,"critical","ROB","Low",99.8473748473749
"46",2010,"non_critical","MC","Medium",83.3710919800634
"47",2011,"non_critical","MC","Medium",94.3150684931507
"48",2011,"critical","MC","Medium",94.3150684931507
"49",2012,"non_critical","MC","Medium",98.9412568306011
"50",2012,"critical","MC","Medium",98.9412568306011
"51",2013,"non_critical","MC","Medium",99.5091324200913
"52",2013,"critical","MC","Medium",99.5091324200913
"53",2014,"non_critical","MC","Medium",99.2579908675799
"54",2014,"critical","MC","Medium",99.2579908675799
"55",2015,"non_critical","MC","Medium",97.2716894977169
"56",2015,"critical","MC","Medium",97.2716894977169
"57",2016,"non_critical","MC","Medium",98.9071038251366
"58",2016,"critical","MC","Medium",98.9071038251366
"59",2017,"non_critical","MC","Medium",89.5299145299145
"60",2017,"critical","MC","Medium",89.5299145299145
"61",2010,"non_critical","LOB","Medium",44.2229270502945
"62",2011,"non_critical","LOB","Medium",23.2534246575342
"63",2011,"critical","LOB","Medium",23.2534246575342
"64",2012,"non_critical","LOB","Medium",1.49134790528233
"65",2012,"critical","LOB","Medium",1.49134790528233
"66",2013,"non_critical","LOB","Medium",0.764840182648402
"67",2013,"critical","LOB","Medium",0.764840182648402
"68",2014,"non_critical","LOB","Medium",1.11872146118721
"69",2014,"critical","LOB","Medium",1.11872146118721
"70",2015,"non_critical","LOB","Medium",0.856164383561644
"71",2015,"critical","LOB","Medium",0.856164383561644
"72",2016,"non_critical","LOB","Medium",1.45719489981785
"73",2016,"critical","LOB","Medium",1.45719489981785
"74",2017,"non_critical","LOB","Medium",16.9108669108669
"75",2017,"critical","LOB","Medium",16.9108669108669
"76",2010,"non_critical","ROB","Medium",49.614861803353
"77",2011,"non_critical","ROB","Medium",25.3310502283105
"78",2011,"critical","ROB","Medium",25.3310502283105
"79",2012,"non_critical","ROB","Medium",1.59380692167577
"80",2012,"critical","ROB","Medium",1.59380692167577
"81",2013,"non_critical","ROB","Medium",0.844748858447489
"82",2013,"critical","ROB","Medium",0.844748858447489
"83",2014,"non_critical","ROB","Medium",1.3013698630137
"84",2014,"critical","ROB","Medium",1.3013698630137
"85",2015,"non_critical","ROB","Medium",0.947488584474886
"86",2015,"critical","ROB","Medium",0.947488584474886
"87",2016,"non_critical","ROB","Medium",1.53688524590164
"88",2016,"critical","ROB","Medium",1.53688524590164
"89",2017,"non_critical","ROB","Medium",17.2619047619048
"90",2017,"critical","ROB","Medium",17.2619047619048
"91",2010,"non_critical","MC","High",56.8645219755324
"92",2011,"non_critical","MC","High",78.7899543378995
"93",2011,"critical","MC","High",78.7899543378995
"94",2012,"non_critical","MC","High",98.5314207650273
"95",2012,"critical","MC","High",98.5314207650273
"96",2013,"non_critical","MC","High",99.3036529680365
"97",2013,"critical","MC","High",99.3036529680365
"98",2014,"non_critical","MC","High",98.9611872146119
"99",2014,"critical","MC","High",98.9611872146119
