"","year","season","position","Probability_Threshold","value"
"1",2010,"non_critical","MC","Low",79.6556411418215
"2",2011,"non_critical","MC","Low",92.8767123287671
"3",2011,"critical","MC","Low",92.8767123287671
"4",2012,"non_critical","MC","Low",95.1047358834244
"5",2012,"critical","MC","Low",95.1047358834244
"6",2013,"non_critical","MC","Low",97.5
"7",2013,"critical","MC","Low",97.5
"8",2014,"non_critical","MC","Low",96.8493150684931
"9",2014,"critical","MC","Low",96.8493150684931
"10",2015,"non_critical","MC","Low",97.4315068493151
"11",2015,"critical","MC","Low",97.4315068493151
"12",2016,"non_critical","MC","Low",95.4348816029144
"13",2016,"critical","MC","Low",95.4348816029144
"14",2017,"non_critical","MC","Low",93.0860805860806
"15",2017,"critical","MC","Low",93.0860805860806
"16",2010,"non_critical","MC","Medium",61.3955595831445
"17",2011,"non_critical","MC","Medium",75.4794520547945
"18",2011,"critical","MC","Medium",75.4794520547945
"19",2012,"non_critical","MC","Medium",85.6443533697632
"20",2012,"critical","MC","Medium",85.6443533697632
"21",2013,"non_critical","MC","Medium",88.8356164383562
"22",2013,"critical","MC","Medium",88.8356164383562
"23",2014,"non_critical","MC","Medium",94.2694063926941
"24",2014,"critical","MC","Medium",94.2694063926941
"25",2015,"non_critical","MC","Medium",94.0639269406393
"26",2015,"critical","MC","Medium",94.0639269406393
"27",2016,"non_critical","MC","Medium",89.6174863387978
"28",2016,"critical","MC","Medium",89.6174863387978
"29",2017,"non_critical","MC","Medium",85.0579975579976
"30",2017,"critical","MC","Medium",85.0579975579976
"31",2010,"non_critical","MC","High",0
"32",2011,"non_critical","MC","High",0
"33",2011,"critical","MC","High",0
"34",2012,"non_critical","MC","High",0
"35",2012,"critical","MC","High",0
"36",2013,"non_critical","MC","High",0
"37",2013,"critical","MC","High",0
"38",2014,"non_critical","MC","High",0
"39",2014,"critical","MC","High",0
"40",2015,"non_critical","MC","High",0
"41",2015,"critical","MC","High",0
"42",2016,"non_critical","MC","High",0
"43",2016,"critical","MC","High",0
"44",2017,"non_critical","MC","High",0
"45",2017,"critical","MC","High",0
"46",2010,"non_critical","MC","Low.Seasonal",79.6556411418215
"47",2011,"non_critical","MC","Low.Seasonal",86.6071428571429
"48",2011,"critical","MC","Low.Seasonal",99.1120218579235
"49",2012,"non_critical","MC","Low.Seasonal",91.7805100182149
"50",2012,"critical","MC","Low.Seasonal",98.4289617486339
"51",2013,"non_critical","MC","Low.Seasonal",95.7417582417582
"52",2013,"critical","MC","Low.Seasonal",99.2486338797814
"53",2014,"non_critical","MC","Low.Seasonal",94.0018315018315
"54",2014,"critical","MC","Low.Seasonal",99.6812386156649
"55",2015,"non_critical","MC","Low.Seasonal",96.0164835164835
"56",2015,"critical","MC","Low.Seasonal",98.8387978142077
"57",2016,"non_critical","MC","Low.Seasonal",91.8715846994536
"58",2016,"critical","MC","Low.Seasonal",98.9981785063752
"59",2017,"non_critical","MC","Low.Seasonal",80.0925925925926
"60",2017,"critical","MC","Low.Seasonal",99.476320582878
"61",2010,"non_critical","MC","Medium.Seasonal",61.3955595831445
"62",2011,"non_critical","MC","Medium.Seasonal",63.507326007326
"63",2011,"critical","MC","Medium.Seasonal",87.3861566484517
"64",2012,"non_critical","MC","Medium.Seasonal",77.2085610200364
"65",2012,"critical","MC","Medium.Seasonal",94.08014571949
"66",2013,"non_critical","MC","Medium.Seasonal",85.6227106227106
"67",2013,"critical","MC","Medium.Seasonal",92.0309653916211
"68",2014,"non_critical","MC","Medium.Seasonal",89.514652014652
"69",2014,"critical","MC","Medium.Seasonal",98.9981785063752
"70",2015,"non_critical","MC","Medium.Seasonal",91.025641025641
"71",2015,"critical","MC","Medium.Seasonal",97.0856102003643
"72",2016,"non_critical","MC","Medium.Seasonal",81.3979963570127
"73",2016,"critical","MC","Medium.Seasonal",97.8369763205829
"74",2017,"non_critical","MC","Medium.Seasonal",57.6388888888889
"75",2017,"critical","MC","Medium.Seasonal",98.5428051001822
"76",2010,"non_critical","MC","High.Seasonal",0
"77",2011,"non_critical","MC","High.Seasonal",0
"78",2011,"critical","MC","High.Seasonal",0
"79",2012,"non_critical","MC","High.Seasonal",0
"80",2012,"critical","MC","High.Seasonal",0
"81",2013,"non_critical","MC","High.Seasonal",0
"82",2013,"critical","MC","High.Seasonal",0
"83",2014,"non_critical","MC","High.Seasonal",0
"84",2014,"critical","MC","High.Seasonal",0
"85",2015,"non_critical","MC","High.Seasonal",0
"86",2015,"critical","MC","High.Seasonal",0
"87",2016,"non_critical","MC","High.Seasonal",0
"88",2016,"critical","MC","High.Seasonal",0
"89",2017,"non_critical","MC","High.Seasonal",0
"90",2017,"critical","MC","High.Seasonal",0
